Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,108.849998,109.379997,107.809998,107.849998,94.527435,5487000
2021-03-03,106.860001,107.139999,105.459999,106.709999,93.528259,7218700
2021-03-04,106.500000,107.750000,104.949997,105.650002,92.599182,7503700
2021-03-05,106.010002,106.989998,104.070000,106.699997,93.519485,7277800
2021-03-08,106.849998,108.160004,105.800003,106.110001,93.002373,6049400
2021-03-09,106.480003,108.690002,106.440002,106.790001,93.598366,6857500
2021-03-10,107.389999,108.360001,107.050003,108.000000,94.658913,5762600
2021-03-11,108.129997,108.629997,107.339996,107.870003,94.544960,4671400
2021-03-12,107.800003,108.580002,107.370003,108.220001,94.851723,5341200
2021-03-15,108.669998,110.360001,108.360001,110.260002,96.639732,6642200
2021-03-16,109.949997,111.080002,109.900002,110.839996,97.148071,5570200
2021-03-17,103.760002,105.089996,102.800003,105.040001,92.064560,19445600
2021-03-18,104.000000,104.989998,103.419998,103.769997,90.951439,8675100
2021-03-19,103.930000,104.430000,102.919998,103.419998,90.644669,10899100
2021-03-22,103.500000,106.400002,102.879997,105.900002,92.818306,7627200
2021-03-23,105.370003,105.940002,104.510002,104.839996,91.889244,6111600
2021-03-24,104.820000,105.330002,103.050003,103.059998,90.329124,9420100
2021-03-25,102.900002,104.150002,102.050003,103.879997,91.047844,6281500
2021-03-26,103.870003,106.120003,103.839996,105.980003,92.888428,6596900
2021-03-29,105.760002,107.000000,105.489998,106.730003,93.545799,5472700
2021-03-30,106.860001,107.029999,105.870003,106.790001,93.598366,5354100
2021-03-31,106.879997,109.180000,106.800003,108.220001,94.851723,9048000
2021-04-01,108.919998,108.980003,107.320000,108.519997,95.114662,5091700
2021-04-05,109.080002,109.080002,105.400002,106.139999,93.028656,10584400
2021-04-06,105.849998,106.279999,104.879997,105.379997,92.362556,8522500
2021-04-07,105.529999,106.129997,104.169998,105.209999,92.213554,8037300
2021-04-08,105.400002,106.919998,105.349998,106.099998,92.993614,5881800
2021-04-09,106.389999,107.720001,106.050003,107.540001,94.255730,5977500
2021-04-12,107.820000,108.570000,107.360001,108.250000,94.878021,5647500
2021-04-13,108.029999,108.360001,107.029999,108.220001,94.851723,6165100
2021-04-14,106.220001,106.669998,105.580002,105.900002,93.946846,7766700
2021-04-15,105.989998,106.949997,105.620003,106.889999,94.825096,5730500
2021-04-16,107.489998,108.550003,107.139999,107.910004,95.729988,8207700
2021-04-19,107.970001,108.730003,107.120003,108.610001,96.350967,4542900
2021-04-20,108.120003,109.559998,108.050003,109.029999,96.723564,5411800
2021-04-21,109.790001,111.440002,109.349998,110.800003,98.293770,6181100
2021-04-22,110.650002,111.089996,109.610001,110.050003,97.628441,5046000
2021-04-23,109.709999,111.769997,109.550003,111.379997,98.808327,4611000
2021-04-26,111.559998,112.040001,110.849998,111.389999,98.817192,5202300
2021-04-27,111.250000,111.849998,110.580002,111.440002,98.861549,3522900
2021-04-28,111.680000,112.570000,111.320000,111.930000,99.296257,5116000
2021-04-29,112.379997,112.610001,110.330002,110.889999,98.373627,6766700
2021-04-30,111.470001,112.309998,110.110001,111.500000,98.914764,10575400
2021-05-03,112.400002,115.099998,111.589996,114.680000,101.735855,9138200
2021-05-04,114.620003,115.940002,113.050003,113.900002,101.043869,8151400
2021-05-05,114.309998,116.279999,113.949997,115.779999,102.711670,7021400
2021-05-06,115.000000,116.180000,114.160004,116.080002,102.977821,5803800
2021-05-07,116.379997,116.930000,114.959999,115.750000,102.685066,6808200
2021-05-10,116.379997,117.199997,115.970001,116.220001,103.102005,7093300
2021-05-11,115.480003,116.570000,114.379997,114.889999,101.922127,5784600
2021-05-12,114.849998,116.000000,114.440002,114.959999,101.984230,6208300
2021-05-13,115.550003,117.199997,115.010002,116.599998,103.439133,6558200
2021-05-14,117.360001,117.589996,116.379997,116.430000,103.288307,6268500
2021-05-17,116.769997,117.709999,116.559998,116.889999,103.696381,6183200
2021-05-18,116.110001,117.900002,115.320000,117.209999,103.980270,8174900
2021-05-19,116.459999,116.500000,114.379997,115.849998,102.773766,6433600
2021-05-20,115.339996,117.339996,115.120003,117.110001,103.891556,5526100
2021-05-21,117.519997,118.279999,116.059998,116.120003,103.013298,5577800
2021-05-24,116.589996,116.809998,115.589996,115.910004,102.827003,4821300
2021-05-25,115.970001,116.000000,114.190002,114.559998,101.629379,6574200
2021-05-26,114.529999,114.739998,113.760002,114.699997,101.753586,5802600
2021-05-27,115.120003,115.199997,112.019997,112.320000,99.642212,26406000
2021-05-28,113.330002,114.480003,112.860001,113.199997,100.422890,7104300
2021-06-01,113.699997,113.989998,112.040001,112.209999,99.544624,6846200
2021-06-02,112.410004,112.660004,110.849998,111.400002,98.826073,8100700
2021-06-03,111.120003,112.410004,110.650002,112.209999,99.544624,6286100
2021-06-04,112.400002,113.110001,112.160004,112.360001,99.677704,4255400
2021-06-07,112.709999,114.110001,112.330002,113.010002,100.254326,5570100
2021-06-08,112.680000,113.089996,111.820000,112.339996,99.659966,4114200
2021-06-09,112.879997,114.419998,112.739998,114.000000,101.132599,4884000
2021-06-10,114.360001,116.989998,114.150002,116.239998,103.119751,6263800
2021-06-11,116.239998,116.360001,114.870003,115.419998,102.392311,4471400
2021-06-14,115.070000,115.480003,114.190002,115.400002,102.374557,4427600
2021-06-15,115.360001,115.940002,114.519997,115.830002,102.756027,3590500
2021-06-16,116.220001,116.529999,115.169998,115.529999,102.489899,6670200
2021-06-17,114.980003,115.889999,114.029999,114.900002,101.931007,4172300
2021-06-18,113.639999,114.199997,113.050003,113.120003,100.351929,7415400
2021-06-21,113.690002,115.250000,112.769997,114.730003,101.780190,4666100
2021-06-22,114.489998,115.279999,113.879997,114.699997,101.753586,4359900
2021-06-23,114.550003,115.029999,113.949997,114.000000,101.132599,3837300
2021-06-24,114.419998,116.190002,114.260002,114.739998,101.789078,7712300
2021-06-25,112.900002,113.589996,112.139999,112.980003,100.227722,11709400
2021-06-28,113.260002,114.110001,112.839996,113.000000,100.245461,5141800
2021-06-29,112.650002,112.750000,111.610001,112.300003,99.624466,5795100
2021-06-30,112.209999,112.919998,111.629997,112.639999,99.926094,5042600
2021-07-01,112.949997,114.550003,112.889999,114.260002,101.363258,5306900
2021-07-02,114.519997,115.489998,113.889999,115.169998,102.170532,5719500
2021-07-06,115.169998,115.900002,114.769997,115.730003,102.667320,7172100
2021-07-07,115.910004,116.970001,115.309998,116.750000,103.572205,6695100
2021-07-08,115.760002,116.809998,115.680000,116.349998,103.217354,3948800
2021-07-09,116.300003,117.330002,116.110001,116.580002,103.421379,4823400
2021-07-12,116.800003,118.349998,116.620003,117.629997,104.352875,8148400
2021-07-13,117.589996,118.089996,116.690002,117.910004,104.601257,6540300
2021-07-14,116.870003,117.550003,116.389999,117.360001,105.274033,6543400
2021-07-15,116.809998,117.489998,115.750000,117.180000,105.112587,4544600
2021-07-16,117.910004,118.330002,116.919998,117.500000,105.399605,6826100
2021-07-19,116.669998,117.000000,113.739998,115.419998,103.533821,6762000
2021-07-20,115.550003,117.730003,115.459999,116.050003,104.098946,5581400
2021-07-21,116.639999,117.070000,115.790001,116.989998,104.942131,4133800
2021-07-22,116.639999,117.910004,116.389999,117.540001,105.435493,6257000
2021-07-23,117.980003,118.669998,117.570000,118.190002,106.018555,4411100
2021-07-26,118.129997,118.470001,117.269997,117.790001,105.659752,3730100
2021-07-27,117.790001,118.300003,116.760002,117.959999,105.812248,3773100
2021-07-28,117.629997,118.930000,117.300003,118.550003,106.341476,5650400
